date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-14 23:55:20,SealDog23,,0,0,0,"Lindsey Graham Vows to Call Adam Schiff to Testify Before the Senate #Liberals #msm #dnc #CNNTownHall #trending #TrendingNow #Democrats #Pelosi @SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems #Ukraine #WhistleblowerComplaint #schiff @RepAdamSchiffhttps://neonnettle.com/news/9448-lindsey-graham-vows-to-call-adam-schiff-to-testify-before-the-senate …",,@SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems @RepAdamSchiffhttps,#Liberals #msm #dnc #CNNTownHall #trending #TrendingNow #Democrats #Pelosi #Ukraine #WhistleblowerComplaint #schiff,1195128111395938304,https://twitter.com/SealDog23/status/1195128111395938304
2019-11-14 23:54:10,SealDog23,,0,0,0,"#Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #Pelosi @SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems #Ukraine #WhistleblowerComplaint #schiff @RepAdamSchiff @RepJerryNadler #Nadlerpic.twitter.com/olJx31jl0K",,@SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems @RepAdamSchiff @RepJerryNadler,#Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #Pelosi #Ukraine #WhistleblowerComplaint #schiff #Nadlerpic,1195127816934875137,https://twitter.com/SealDog23/status/1195127816934875137
2019-11-14 23:51:52,SealDog23,,0,0,0,"Trump Surges with Suburban Women, Beats All 2020 Democrats in Large Donations #Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #womenhttps://neonnettle.com/news/9435-trump-surges-with-suburban-women-beats-all-2020-democrats-in-large-donations …",,,#Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #womenhttps,1195127239521767424,https://twitter.com/SealDog23/status/1195127239521767424
2019-11-14 23:50:54,SealDog23,,0,0,0,"#Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #Pelosi @SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems #Ukraine #WhistleblowerComplaint #schiff @RepAdamSchiff @RepJerryNadler #Nadler #DeepStateCorruptionpic.twitter.com/5puO7fa9kz",,@SpeakerPelosi @SenSchumer @HouseDemocrats @SenateDems @RepAdamSchiff @RepJerryNadler,#Liberals #Democrats #msm #dnc #CNNTownHall #trending #TrendingNow #Democrat #Pelosi #Ukraine #WhistleblowerComplaint #schiff #Nadler #DeepStateCorruptionpic,1195126995476025344,https://twitter.com/SealDog23/status/1195126995476025344
2019-11-14 23:50:27,mtaflinger,,0,0,2,"When @AndrewYang says our kids are not alright. He's not full of it. #YangGang2020 #DNC #Election2020https://www.wave3.com/2019/11/14/high-insulin-costs-striking-fear-among-those-with-diabetes/ …",,@AndrewYang,#YangGang2020 #DNC #Election2020https,1195126882590765058,https://twitter.com/mtaflinger/status/1195126882590765058
2019-11-14 23:49:14,Rasputinish,barry_malkin,0,0,1,"Not only the #DNC. It's a cross-Party cluster-fukg. @GOP are equally as corrupt and equally as asinine.",,@GOP,#DNC,1195126575148220416,https://twitter.com/Rasputinish/status/1195126575148220416
2019-11-14 23:42:28,thebluntpost,,0,0,0,"Don’t forget the #ArmenianGenocide @LindseyGrahamSC & @realDonaldTrump betrayed Armenian-Americans & victims of all genocide by blocking the #Senate vote. @SenateGOP @SenateDems @HouseGOP @HouseDemocrats #LindseyGraham #DonaldTrump #GOP #DNC @RepAdamSchiff @SenatorMenendez",,@LindseyGrahamSC @realDonaldTrump @SenateGOP @SenateDems @HouseGOP @HouseDemocrats @RepAdamSchiff @SenatorMenendez,#ArmenianGenocide #Senate #LindseyGraham #DonaldTrump #GOP #DNC,1195124871346311169,https://twitter.com/thebluntpost/status/1195124871346311169
2019-11-14 23:40:08,CommunicateFail,DanRather,0,0,1,"#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling @SenateDems #CNN #Debates #MSNBC @DeadlineWH @ajc",,@SenateDems @DeadlineWH @ajc,#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling #CNN #Debates #MSNBC,1195124285037260801,https://twitter.com/CommunicateFail/status/1195124285037260801
2019-11-14 23:38:30,CommunicateFail,kstreet111,0,0,0,"#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling @SenateDems #CNN #Debates #MSNBC @DeadlineWH @ajc",,@SenateDems @DeadlineWH @ajc,#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling #CNN #Debates #MSNBC,1195123875845201920,https://twitter.com/CommunicateFail/status/1195123875845201920
2019-11-14 23:36:43,Forest_nerd,,0,0,0,"All these men joining in the #DNC presidential race, need to take a seat. Like seriously, cause you have money, you are buying inn. Your ego is so inflated. Stand by the 1s running. Ugh! #bitchplease",,,#DNC #bitchplease,1195123427100655617,https://twitter.com/Forest_nerd/status/1195123427100655617
2019-11-14 23:35:48,TheStrokeBoy,mitchellvii,0,0,0,"Sessions was a #WhiteHat Coordinating the fall of #DeepState/ #DNC",,,#WhiteHat #DeepState #DNC,1195123192425320452,https://twitter.com/TheStrokeBoy/status/1195123192425320452
2019-11-14 23:35:16,first_maga,,0,0,1,"#ImpeachmentInquiry #ImpeachmentSham brought to you by #GeorgeSoros puppet #SchiffShamShow and the #DNC #DeepStateCouppic.twitter.com/ZAWtVrk8x7",,,#ImpeachmentInquiry #ImpeachmentSham #GeorgeSoros #SchiffShamShow #DNC #DeepStateCouppic,1195123060992552960,https://twitter.com/first_maga/status/1195123060992552960
2019-11-14 23:32:52,CommunicateFail,RBReich,0,0,0,"#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling @SenateDems #CNN #Debates #MSNBC @DeadlineWH @ajc",,@SenateDems @DeadlineWH @ajc,#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling #CNN #Debates #MSNBC,1195122454382940160,https://twitter.com/CommunicateFail/status/1195122454382940160
2019-11-14 23:30:36,CommunicateFail,CommunicateFail,0,1,0,"#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling @SenateDems #CNN #Debates #MSNBC @DeadlineWH @ajc",,@SenateDems @DeadlineWH @ajc,#GoArmy #GoNavy #TheView #Time #NASCAR #UFC227 #AirForceAcademy #NavalAcademy #Harvard #Princeton #Bloomberg #DNC #NBA #NHL #MLB #MLS #Yale #ArizonaState #Gators #FoxNews #11thHour #WestPoint #Boeing #WaPo #MorganState #Grambling #CNN #Debates #MSNBC,1195121884951711744,https://twitter.com/CommunicateFail/status/1195121884951711744
2019-11-14 23:28:58,MaryMastersMS,,0,0,0,"This is what #DNC has been doing since they lost 2016 election. @KatiePavlich @MZHemingway Nancy gives lessons on how to smear INNOCENT opponents no matter who it hurts/destroys...it's just politics. Anyone who expects her #WalkAway demons to do the right thing delusional. @POTUSpic.twitter.com/sFVxW3caiY",,@KatiePavlich @MZHemingway @POTUSpic,#DNC #WalkAway,1195121476262940672,https://twitter.com/MaryMastersMS/status/1195121476262940672
