date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-14 20:38:14,brenda_sanders,,0,0,0,"""DEVIL Patrick"" has decided to run as a Democratic. Candidate for President of the United States. I am personally dismayed because DEVAL=DEVIL has waited almost a whole year to announce his candidacy while Sen. Booker has tirelessly sought the... https://cbsn.ws/2XdKkwp",,,,1195078509456220162,https://twitter.com/brenda_sanders/status/1195078509456220162
2019-11-14 20:26:40,TedCornwell,RealSaavedra,0,1,1,"""Ukrainian Foreign Minister Vadym Prystaiko said the United States Ambassador Gordon Sondland did not link financial military assistance to a request for Ukraine to open up an investigation into former vice president and Democratic candidate Joe Biden and his son, Hunter Biden.""",,,,1195075598831570945,https://twitter.com/TedCornwell/status/1195075598831570945
2019-11-14 20:19:02,Sharkpatrol32,,0,0,0,"Great interview with @TomSteyer. I don't think I've ever seen @davidfaber put the heat to the fire of a candidate as much. Steyer would make a great Democratic candidate for President! All the answers, fair, common sense rules, unifying @CNBC @SquawkStreet @LesliePicker",,@TomSteyer @davidfaber @CNBC @SquawkStreet @LesliePicker,,1195073675361275904,https://twitter.com/Sharkpatrol32/status/1195073675361275904
2019-11-14 20:08:12,ElectionsUtah,,0,2,1,"Michael Bennet has declared as a Democratic candidate for President of the United States. #utpol",,,#utpol,1195070952125554688,https://twitter.com/ElectionsUtah/status/1195070952125554688
2019-11-14 20:05:51,MeThePeople3,,0,0,0,"#schoolshooting Every democratic candidate I hear today that gets interviewed on this and says “I will be the president that will...” and uses this gut wretching tragedy for political gain in any way automatically #LosesMyVote . Unbelievable. Save that crap for Trump&company.",,,#schoolshooting #LosesMyVote,1195070356949618688,https://twitter.com/MeThePeople3/status/1195070356949618688
2019-11-14 20:00:45,PatrickJGoggins,davidsirota,0,0,3,"“Today, I saw a splash of sunlight in what’s been a grim Democratic tussle for president,” Matthews [said] launching into a soliloquy about a Biden press conference in Detroit, where the candidate, “his face toward the sun,” reminded Matthews that “hope” still existed. Puleeze!",,,,1195069077125058560,https://twitter.com/PatrickJGoggins/status/1195069077125058560
2019-11-14 19:16:57,jmsgarrity,cenkuygur,0,0,0,"The Democratic Party is as much divided as America is. There is no strong candidate running for president. @FoxNews @DNC Adding more candidates only nullifies the left is candidates.",,@FoxNews @DNC,,1195058050962468864,https://twitter.com/jmsgarrity/status/1195058050962468864
2019-11-14 19:01:43,MoDragonSlayer,ICEgov,0,0,1,"Ice Thankfully your doing your job despite resistance from Liberal socialist Democrat like AOC, the squad& the Democratic candidate. They will destroy this country if any of them are elected president. Keep up the good work the majority of America is behind you.",,,,1195054218501120005,https://twitter.com/MoDragonSlayer/status/1195054218501120005
2019-11-14 18:52:35,MichaelEhrman,chrishiggins,1,0,1,"Notice a New Democratic candidate. Join the Democratic Party and run for President.",,,,1195051919632404484,https://twitter.com/MichaelEhrman/status/1195051919632404484
2019-11-14 18:48:57,JnetNW,JnetNW,1,0,0,"Guiliani denies, than admits to asking Ukraine to look into a Democratic Candidate for President, then the front runner for 2020. https://twitter.com/JnetNW/status/1195050427177287681 …",,,,1195051006414839808,https://twitter.com/JnetNW/status/1195051006414839808
2019-11-14 18:48:05,Redroadmaster,,0,0,0,"The federal jury in the criminal trial of President Trump’s adviser Roger Stone began deliberations Thursday into whether he lied to Congress about his efforts to learn more about WikiLeaks would publish damaging emails about 2016 Democratic presidential candidate Hillary Clinton",,,,1195050786696228864,https://twitter.com/Redroadmaster/status/1195050786696228864
2019-11-14 18:40:44,luckyle02112093,Sickboyisit,0,0,0,"Trump asked Ukraine president to investigate Biden's son ... https://thehill.com/homenews/administration/462378-trump-asked-ukraine-president-to …... President Trump reportedly pressured the president of Ukraine during a July phone call to investigate the son of Democratic presidential candidate and former Vice President Joe Biden",,,,1195048939680129024,https://twitter.com/luckyle02112093/status/1195048939680129024
