date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-29 20:09:11,azrastotle,KoenigAdam,0,0,1,". @PeteButtigieg @JoeBiden https://twitter.com/koenigadam/status/1200391578411585541 …",,@PeteButtigieg @JoeBiden,,1200507015254007808,https://twitter.com/azrastotle/status/1200507015254007808
2019-11-29 20:09:02,KathyDuffley,JudicialWatch,0,0,0,"@HillaryClinton @BarackObama @JoeBiden https://twitter.com/judicialwatch/status/1200489605419560961 …",,@HillaryClinton @BarackObama @JoeBiden,,1200506976905633792,https://twitter.com/KathyDuffley/status/1200506976905633792
2019-11-29 20:09:00,JoeBiden,,202,137,584,"Tomorrow, we’re kicking off our eight-day, 18 county “No Malarkey” barnstorm across Iowa! I’d love to see you there. Head to https://joe.link/37kBEc6 to find an event in your community.pic.twitter.com/YngzAn9vKZ",,,,1200506968273805312,https://twitter.com/JoeBiden/status/1200506968273805312
2019-11-29 20:08:53,Just_Tremendous,LukewSavage,0,0,0,"At least Joe Biden will hopefully die pretty soon, we’re gonna have to live with Mayo Pete for a long time",,,,1200506939253243904,https://twitter.com/Just_Tremendous/status/1200506939253243904
2019-11-29 20:08:29,2020campaig,JoeBiden,0,0,0,"@LeaderHoyer Keeping America safe is Congress’ most important duty. Democrats are focused on strengthening U.S. national security and restoring America’s leadership in the world. https://www.majorityleader.gov/issues/defense-and-national-security … @SpeakerPelosi @GOPLeader @CNN @CNBC",,@LeaderHoyer @SpeakerPelosi @GOPLeader @CNN @CNBC,,1200506838220976128,https://twitter.com/2020campaig/status/1200506838220976128
2019-11-29 20:08:16,gingersnapstx,,0,0,0,"My Birthday/Trump-N-Troops/Miracle Joe Biden Was Broke https://youtu.be/jVyR3ethGtY via @YouTube",,@YouTube,,1200506783434989568,https://twitter.com/gingersnapstx/status/1200506783434989568
2019-11-29 20:08:11,AmericanKoshur,,0,3,5,"MODI is bringing TERRORISTS to MAINSTREAM INDIAN POLITICS @POTUS @realDonaldTrump @SpeakerPelosi @ewarren @JoeBiden @RepJayapal @BradSherman @IlhanMN @AOC @RoKhanna @senatemajldr @BorisJohnson @Queen_Europehttps://www.indiatoday.in/india/story/stand-by-my-statement-terming-pragya-thakur-terrorist-rahul-gandhi-1623667-2019-11-29 …",,@POTUS @realDonaldTrump @SpeakerPelosi @ewarren @JoeBiden @RepJayapal @BradSherman @IlhanMN @AOC @RoKhanna @senatemajldr @BorisJohnson @Queen_Europehttps,,1200506761788178432,https://twitter.com/AmericanKoshur/status/1200506761788178432
2019-11-29 20:08:09,aurora_phlox,aurora_phlox,0,0,0,"Beholden to RU Mob money is beholden to RU Mob money, whether you're a Millenial gay guy or misogynist old boomer.",,,,1200506757467893760,https://twitter.com/aurora_phlox/status/1200506757467893760
2019-11-29 20:08:05,Sasulou,tekkwene,0,0,0,"You are lovely, you have no idea who I am or where I have been, yet you keep having to justify yourself with your life’s story. You assume to know me because of comment and a profile picture. You aren’t that smart, PHD",,,,1200506738576900098,https://twitter.com/Sasulou/status/1200506738576900098
2019-11-29 20:08:03,telljer,Lis_Smith,0,0,0,"If you think CEOs actually deserve to earn 40 times what they pay their employees and that taxing that money is bad, then Pete Buttigieg might be your candidate. Naw, JK. You’re voting for Joe Biden",,,,1200506729169113090,https://twitter.com/telljer/status/1200506729169113090
2019-11-29 20:08:02,clotheson,KidKush479,0,0,0,"The way he look at her is disgusting",,,,1200506727218593792,https://twitter.com/clotheson/status/1200506727218593792
2019-11-29 20:08:02,AlisonLeigh22,imillerand1,0,0,0,"They mean the one that rhymes with Ernie.",,,,1200506726400675841,https://twitter.com/AlisonLeigh22/status/1200506726400675841
2019-11-29 20:08:02,laurachvycamaro,JimRobe70184873,3,1,2,"And China even. You know another country in question with Joe Biden and his son Hunter?",,,,1200506725746372608,https://twitter.com/laurachvycamaro/status/1200506725746372608
2019-11-29 20:07:57,SkiprG7,JoeBiden,0,0,0,"Really? Yet you are against the Pres intervening in a sham court marshall against a US serviceman. You are confused and a fn joke.",,,,1200506703290228738,https://twitter.com/SkiprG7/status/1200506703290228738
2019-11-29 20:07:42,MollyMay1923,cantcu,1,0,1,"The black Kavanaugh who Joe Biden let get away with it whole ignoring Dr. Anita Hill. To this day, he has NOT apologized to her",,,,1200506641243922433,https://twitter.com/MollyMay1923/status/1200506641243922433
2019-11-29 20:07:31,romeo49435,TheLoyalO,0,0,0,"@TheLoyalO that's bullshit cause if that's the case why do you and everyother @realDonaldTrump supporters still chant Trump's conspiracy theories and call for an investigation into @JoeBiden and his son without any evidence.? Are the rules different for Republicans then demacrats",,@TheLoyalO @realDonaldTrump @JoeBiden,,1200506595265912832,https://twitter.com/romeo49435/status/1200506595265912832
2019-11-29 20:07:27,JardeeandMoes,JoeBiden,0,0,1,"They all want to follow Trumps lead. Yet they despise him and are triggered by him. Read between the lines #PresidentDonaldTrump2020",,,#PresidentDonaldTrump2020,1200506580036440064,https://twitter.com/JardeeandMoes/status/1200506580036440064
2019-11-29 20:07:19,Frances23659336,SethAbramson,0,1,1,"@HouseJudiciary @repjohnlewis @JoeBiden @SenWarren @HouseDemocrats @tedlieu @HouseDemocrats @gucci1017",,@HouseJudiciary @repjohnlewis @JoeBiden @SenWarren @HouseDemocrats @tedlieu @HouseDemocrats @gucci1017,,1200506544552660992,https://twitter.com/Frances23659336/status/1200506544552660992
2019-11-29 20:07:17,KiwiFunknuckle,shantelwatson69,0,0,0,"#Maga ? Make arseholes grovel again? How many of you actually have a travelled and experienced the world. First world, developing nations? I doubt much or if at all. America is far from the greatest country in the world. It’s a #cuntry. It is self defeating & sad Landslide? No.",,,#Maga #cuntry,1200506535668895744,https://twitter.com/KiwiFunknuckle/status/1200506535668895744
2019-11-29 20:07:15,sdotgatewood,kerryfjacob,0,0,0,"Biden is basically that person where you’re like, “If neither of us is married by 45 let’s me and you get married”. If he’s your first choice (especially after what we’ve seen this campaign cycle) therebis really something wrong with you.",,,,1200506529276936192,https://twitter.com/sdotgatewood/status/1200506529276936192
2019-11-29 20:07:09,moo1946joan,PhDnotMD,0,0,1,"I agree. It’s Biden.",,,,1200506504635285505,https://twitter.com/moo1946joan/status/1200506504635285505
2019-11-29 20:07:00,GratefulDreg,KDVR,0,0,0,"Not even Creepy Uncle Joe Biden?",,,,1200506466811043841,https://twitter.com/GratefulDreg/status/1200506466811043841
2019-11-29 20:07:00,TrickleDownPsyc,BernieSanders,0,1,0,"Mya Money is ALWAYS The Redirect/Backgrnd/BirdSeed @RepAdamSchiff @SpeakerPelosi @RepJerryNadler @ewarren @JoeBiden @AOC @BarackObama @algore @marwilliamson @PeteButtigieg @justinamash @RepSwalwell @amyklobuchar @JohnKasich @maddow @AC360 @hardball @realDonaldTrump @FOXNEWS @APA",,@RepAdamSchiff @SpeakerPelosi @RepJerryNadler @ewarren @JoeBiden @AOC @BarackObama @algore @marwilliamson @PeteButtigieg @justinamash @RepSwalwell @amyklobuchar @JohnKasich @maddow @AC360 @hardball @realDonaldTrump @FOXNEWS @APA,,1200506465666158595,https://twitter.com/TrickleDownPsyc/status/1200506465666158595
2019-11-29 20:06:57,RJC624,LadyRedWave,0,0,1,"Seriously,joe biden is mentally ill",,,,1200506451409743874,https://twitter.com/RJC624/status/1200506451409743874
2019-11-29 20:06:45,ghostrider050,LadyRedWave,0,0,1,"@JoeBiden is a CREEP! https://twitter.com/LadyRedWave/status/1200496641679081472 …",,@JoeBiden,,1200506402609016833,https://twitter.com/ghostrider050/status/1200506402609016833
2019-11-29 20:06:43,WarlordJustice,Lady_Laura,0,0,0,"@PeteButtigieg > @realDonaldTrump Just remember that when the time comes. I can't stand @JoeBiden but I'll vote for him if that's our nominee",,@PeteButtigieg @realDonaldTrump @JoeBiden,,1200506395696611328,https://twitter.com/WarlordJustice/status/1200506395696611328
2019-11-29 20:06:12,NoSteppy1776,ChadAmerican,0,0,0,"If feelings won elections, Hillary would be president lol",,,,1200506265455087616,https://twitter.com/NoSteppy1776/status/1200506265455087616
2019-11-29 20:06:02,jimmcla24448301,,0,0,0,"Joe Biden on Ukraine - Billion Dollars https://youtu.be/rnIPw_Who7E via @YouTube",,@YouTube,,1200506220832075777,https://twitter.com/jimmcla24448301/status/1200506220832075777
2019-11-29 20:06:01,IamaCamera2,brittlestar,0,0,0,". @ewarren . @PeteButtigieg . @BernieSanders . @JoeBiden . @MikeBloomberg . @amyklobuchar . @ChrisVanHollen . @RepBarbaraLee . @BettyMcCollum04 . @maziehirono . @SenatorFischer . @SenFeinstein . @SenGillibrand . @JulianCastro . @AndrewYanghttps://twitter.com/brittlestar/status/1200368810169008128 …",,@ewarren @PeteButtigieg @BernieSanders @JoeBiden @MikeBloomberg @amyklobuchar @ChrisVanHollen @RepBarbaraLee @BettyMcCollum04 @maziehirono @SenatorFischer @SenFeinstein @SenGillibrand @JulianCastro @AndrewYanghttps,,1200506218898436096,https://twitter.com/IamaCamera2/status/1200506218898436096
2019-11-29 20:06:00,Pop3Pam,pamwallace,0,0,0,"",,,,1200506214196469761,https://twitter.com/Pop3Pam/status/1200506214196469761
2019-11-29 20:05:59,BidenBlank,,0,0,0,"Joe Biden thinks communism is eating the body of Christ and drinking his blood. Joe is a Catholic. #Biden2020 @JoeBiden",,@JoeBiden,#Biden2020,1200506208974598144,https://twitter.com/BidenBlank/status/1200506208974598144
