favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
22,Twitter Web App,READ: House GOP's letter requesting witnesses to testify in impeachment probe https://t.co/JmxEfBRReT,CNNPolitics,False,Sat Nov 09 15:41:27 +0000 2019,9,1193191880126808065
56,SocialFlow,Pete Buttigieg says he understands the concern over his past remarks on minorities and education… https://t.co/xKntFxuMiP,,False,Wed Nov 27 04:29:04 +0000 2019,16,1199545651073339393
28,SocialFlow,Lawmakers are skeptical that anything on gun control will gain enough Republican support in the Senate to pass as t… https://t.co/TECpeumO1T,,False,Wed Aug 14 21:11:28 +0000 2019,13,1161747187065413635
330,SocialFlow,"At 95, Jimmy Carter is still living his faith through service https://t.co/MdfIQL5wJH https://t.co/MHj3hkvMd8",,False,Sun Oct 13 21:05:03 +0000 2019,44,1183488845335150593
77,SocialFlow,Justice Ruth Bader Ginsburg treated for pancreatic cancer https://t.co/DSjGS1mOHp https://t.co/xVCyTNC00F,,False,Sun Aug 25 10:05:06 +0000 2019,21,1165565758803460097
15,SocialFlow,Fact-checking President Trump's claims on economist recession warnings https://t.co/KUdhf4xvjR https://t.co/aOcCCglSmi,,False,Mon Aug 19 19:35:05 +0000 2019,10,1163534870813040654
64,SocialFlow,"“I have made mistakes.”

Elizabeth Warren apologizes, turns to policy talk at Native American presidential candidat… https://t.co/Cpq8H7Zp7r",,False,Mon Aug 19 20:25:05 +0000 2019,20,1163547453897019392
70,SocialFlow,NEW: Former national security adviser John Bolton has significant insights into matters being probed by the impeach… https://t.co/Nr3NDZURn1,,False,Fri Nov 08 20:11:41 +0000 2019,25,1192897500560134145
144,SocialFlow,The 41 most shocking lines from Donald Trump's Baghdadi announcement | Analysis by CNN's Chris Cillizza https://t.co/GcrP7md64W,,False,Sun Oct 27 21:00:06 +0000 2019,82,1188561028189175809
11,SocialFlow,"At hacking conference, the Pentagon's transparency highlights voting companies' secrecy https://t.co/w624VzDwTq https://t.co/VxWenoDbV0",,False,Wed Aug 14 17:27:03 +0000 2019,8,1161690711714144256
29,SocialFlow,Kamala Harris says she's proud of work as attorney general following Tulsi Gabbard attacks https://t.co/B0jifvS5SH https://t.co/VG2ePQYEEt,,False,Fri Aug 02 02:15:05 +0000 2019,13,1157112551764832257
15,SocialFlow,Defense Secretary Mark Esper appears to confirm death of Osama bin Laden's son https://t.co/bc4keYHHYu https://t.co/n9fi0KYmkl,,False,Fri Aug 23 12:15:09 +0000 2019,4,1164873708240101376
78,Twitter Media Studio,Democratic presidential candidate Michael Bennet on former Colorado Gov. John Hickenlooper: “I believe because he's… https://t.co/n6ueHwxTjU,,False,Fri Aug 16 12:06:40 +0000 2019,15,1162334859475468289
56,SocialFlow,The precipitous fall of America's mayor | Analysis https://t.co/Z1Yam8Xc5B https://t.co/MIJnIyZXa3,,False,Thu Nov 28 14:00:08 +0000 2019,31,1200051754068578307
163,SocialFlow,"Mark Zuckerberg said an Elizabeth Warren presidency would ""suck"" for Facebook, leaked audio reveals… https://t.co/DnAnmyzFJK",,False,Wed Oct 02 12:47:03 +0000 2019,64,1179377251357511680
16,SocialFlow,Winners and losers in last night's Democratic debate https://t.co/RJebG2kaJa https://t.co/uBIr4Gdri8,,False,Fri Sep 13 21:30:07 +0000 2019,7,1172623516715356160
160,SocialFlow,Trump's impeachment polling is historically unprecedented | Analysis https://t.co/nj4d8Qzi16 https://t.co/qbVMz87KEk,,False,Fri Oct 04 11:41:04 +0000 2019,80,1180085425043574784
27,Twitter Media Studio,"2020 hopeful Bill de Blasio reacts to ranking low in new CNN poll: ""There is not, in the end I think, a sense among… https://t.co/H6GeCWVGDS",,False,Tue Aug 20 11:21:42 +0000 2019,10,1163773094240182272
16,SocialFlow,"Migrant families have sent roughly 135 children across the US-Mexico border alone, US government says… https://t.co/fkj8AwNtmq",,False,Fri Nov 29 06:55:05 +0000 2019,14,1200307175375212544
34,SocialFlow,President Trump signs a short-term funding bill to avoid government shutdown https://t.co/zq9T2ScGRR https://t.co/F08Gbxbd81,,False,Fri Sep 27 23:38:04 +0000 2019,8,1177729147860377606
98,SocialFlow,Taylor Swift calls out White House during VMAs acceptance speech https://t.co/DNIbGlQE0H https://t.co/eNpkkt5Hqe,,False,Tue Aug 27 11:21:04 +0000 2019,27,1166309651736072192
15,SocialFlow,"White House expected to move forward with plan to cancel foreign aid, teeing up a fight with Congress… https://t.co/0caegA1Qdz",,False,Sat Aug 17 00:00:06 +0000 2019,11,1162514400860942338
17,SocialFlow,President Trump stumps for pair of GOP candidates in Louisiana https://t.co/ucWR1lG8iT https://t.co/kQKzIl6aUt,,False,Fri Oct 11 20:58:04 +0000 2019,10,1182762310840000514
13,SocialFlow,Is it panic time for Kamala Harris? | Analysis by CNN's Chris Cillizza https://t.co/EgwCg9Cfhk https://t.co/XYAIvnuwc2,,False,Thu Aug 22 10:15:06 +0000 2019,9,1164481108924358657
179,SocialFlow,House Speaker Nancy Pelosi says President Trump is “scared” of the House Democrats' impeachment inquiry… https://t.co/RUpRM7qF1I,,False,Thu Oct 03 06:00:06 +0000 2019,36,1179637229108551681
30,SocialFlow,"White House tells ICE to conduct dozens more workplace enforcement operations, source says https://t.co/nidmyWoaPI https://t.co/SW8m5W8sLX",,False,Sat Aug 10 14:01:05 +0000 2019,29,1160189328745816065
65,SocialFlow,Joe Biden ally formally launches outside group to help Biden navigate the Democratic presidential primary and defen… https://t.co/Fi04NEWO0c,,False,Tue Oct 29 21:03:05 +0000 2019,24,1189286555158007811
22,SocialFlow,"The robots are coming for your job, too https://t.co/AtxSWNVKKp https://t.co/bfvGNDjZi9",,False,Sat Aug 24 23:32:05 +0000 2019,22,1165406453357789185
566,Twitter Media Studio,"Joe Biden: “Presidents who led, who opposed, chose to fight for what the best of American character is about. ... S… https://t.co/1mcX6JFOud",,False,Wed Aug 07 19:15:58 +0000 2019,180,1159181404787400706
35,SocialFlow,"President Trump mocks Rep. Rashida Tlaib's tears, says she ""grandstanded"" over grandmother visit… https://t.co/wNpxw6OGe6",,False,Tue Aug 20 21:02:30 +0000 2019,7,1163919258260312064
39,SocialFlow,Trump official who promoted fringe conspiracy theories now a senior adviser at State Department… https://t.co/hIMZwKSTIk,,False,Thu Nov 28 15:05:10 +0000 2019,48,1200068120846782466
24,SocialFlow,US Ambassador to Russia Jon Huntsman resigns https://t.co/MAtiWCkapq https://t.co/GeVIqx2CsW,,False,Wed Aug 07 05:00:11 +0000 2019,8,1158966041395048449
